Product Name,Price
Apple iPhone 14 (128 GB) - Blue,"61,999"
Apple iPhone 13 (128GB) - Green,"52,499"
Apple iPhone 13 (128GB) - Midnight,"52,499"
Apple iPhone 13 (128GB) - Green,"52,499"
Apple iPhone 13 (128GB) - Starlight,"52,499"
Apple iPhone 11 (64GB) - White,"43,900"
Apple iPhone 14 (128 GB) - Midnight,"62,999"
Apple iPhone 14 (128 GB) - Blue,"61,999"
Apple iPhone 13 (128GB) - Pink,"52,499"
Apple iPhone 14 (128 GB) - Starlight,"62,499"
Apple iPhone 14 Pro (128 GB) - Gold,"1,19,900"
Apple iPhone 14 Plus (128 GB) - Midnight,"71,999"
Apple iPhone 14 Pro Max (256 GB) - Gold,"1,37,999"
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,"1,59,900"
Apple iPhone 14 (256 GB) - Blue,"72,999"
Apple iPhone 14 (256 GB) - Purple,"72,999"
Apple iPhone 14 Plus (128 GB) - Purple,"71,999"
Apple iPhone 14 Plus (128 GB) - Blue,"71,999"
